day,post_no,column,hook,deliverable,cta,cover_variant,keyword_variant,result_variant,status
1,1,今日体检卡,3分钟股票体检看懂一只票,结果截图含综合分和风险,评论试用,A,试用,A,TODO
1,2,工具演示,不写代码也能跑战法,三步上手图,评论试用,A,试用,A,TODO
2,1,参数教学,保守平衡进取怎么选,参数对照图,评论工具,B,工具,B,TODO
2,2,新手误区,只看收益不看回撤会踩坑,误区纠正图,评论工具,B,工具,B,TODO
3,1,今日体检卡,今天最稳的不是涨幅最大的,结果截图含失效条件,评论试用,A,试用,B,TODO
3,2,用户问答,会不会直接给买卖点,问答三连图,评论试用,A,试用,B,TODO
4,1,回测复盘,同一战法不同周期差别,周期对比图,评论工具,B,工具,A,TODO
4,2,工具演示,第一次回测5分钟跑通,步骤图,评论工具,B,工具,A,TODO
5,1,今日体检卡,这只票分数高但风险也高,结果截图,评论试用,A,试用,A,TODO
5,2,新手误区,为什么回测好看实盘一般,误区纠正图,评论试用,A,试用,A,TODO
6,1,参数教学,新手先用哪套参数,参数推荐图,评论工具,B,工具,B,TODO
6,2,用户问答,要不要会编程,问答三连图,评论工具,B,工具,B,TODO
7,1,今日体检卡,本周战法体检周报,周报截图,评论试用,A,试用,B,TODO
7,2,轻销售,安装服务到底解决什么,服务流程图,评论试用,A,试用,B,TODO
8,1,回测复盘,回撤控制比胜率更重要,回测图,评论工具,B,工具,A,TODO
8,2,工具演示,从下载到出结果全过程,步骤图,评论工具,B,工具,A,TODO
9,1,今日体检卡,今天低估值但波动高的案例,结果截图,评论试用,A,试用,A,TODO
9,2,新手误区,为什么不能只看单次信号,误区纠正图,评论试用,A,试用,A,TODO
10,1,参数教学,进取参数适合谁,参数对照图,评论工具,B,工具,B,TODO
10,2,用户问答,免费版和研究版区别,问答图,评论工具,B,工具,B,TODO
11,1,今日体检卡,一个分数背后怎么看风险,结果截图,评论试用,A,试用,B,TODO
11,2,回测复盘,样本外测试为什么要做,对比图,评论试用,A,试用,B,TODO
12,1,工具演示,三步做完一次策略体检,步骤图,评论工具,B,工具,A,TODO
12,2,新手误区,参数过多反而失真,误区图,评论工具,B,工具,A,TODO
13,1,今日体检卡,今天这票为什么只是观察,结果截图,评论试用,A,试用,A,TODO
13,2,用户问答,这个工具适合哪些人,问答图,评论试用,A,试用,A,TODO
14,1,回测复盘,两周复盘哪种内容最容易转化,数据复盘图,评论工具,B,工具,B,TODO
14,2,轻销售,299研究版值在哪里,对比图,评论工具,B,工具,B,TODO
15,1,今日体检卡,风险标签先看还是分数先看,双版本结果图,评论试用,A,试用,A,TODO
15,2,工具演示,关键词评论后如何领取,流程图,评论试用,A,试用,A,TODO
16,1,参数教学,保守参数实战示例,案例图,评论工具,B,工具,B,TODO
16,2,新手误区,忽略手续费导致回测偏差,误区图,评论工具,B,工具,B,TODO
17,1,今日体检卡,今天这只票为什么降级,结果截图,评论试用,A,试用,B,TODO
17,2,用户问答,有没有Mac版,问答图,评论试用,A,试用,B,TODO
18,1,回测复盘,高分不等于低风险,复盘图,评论工具,B,工具,A,TODO
18,2,工具演示,首次安装常见问题,排障图,评论工具,B,工具,A,TODO
19,1,今日体检卡,一个失效条件避免大坑,结果截图,评论试用,A,试用,A,TODO
19,2,新手误区,追求复杂因子会过拟合,误区图,评论试用,A,试用,A,TODO
20,1,参数教学,平衡参数默认建议,参数图,评论工具,B,工具,B,TODO
20,2,用户问答,为什么只做研究不喊单,问答图,评论工具,B,工具,B,TODO
21,1,今日体检卡,本周体检分变化周报,周报图,评论试用,A,试用,B,TODO
21,2,轻销售,39服务单真实流程,流程图,评论试用,A,试用,B,TODO
22,1,回测复盘,同一战法在不同市场表现,对比图,评论工具,B,工具,A,TODO
22,2,工具演示,不写代码做回测的边界,步骤图,评论工具,B,工具,A,TODO
23,1,今日体检卡,今天风险标签为何变红,结果截图,评论试用,A,试用,A,TODO
23,2,新手误区,把工具当指令是误区,误区图,评论试用,A,试用,A,TODO
24,1,参数教学,三种参数如何快速切换,参数图,评论工具,B,工具,B,TODO
24,2,用户问答,服务单和主商品怎么选,问答图,评论工具,B,工具,B,TODO
25,1,今日体检卡,低分案例更有学习价值,结果截图,评论试用,A,试用,B,TODO
25,2,回测复盘,回测中最该盯的3个指标,复盘图,评论试用,A,试用,B,TODO
26,1,工具演示,从评论到跑通全流程,流程图,评论工具,B,工具,A,TODO
26,2,新手误区,忽略风险提示的后果,误区图,评论工具,B,工具,A,TODO
27,1,今日体检卡,同分不同风险怎么选,结果截图,评论试用,A,试用,A,TODO
27,2,用户问答,试用版限制有哪些,问答图,评论试用,A,试用,A,TODO
28,1,回测复盘,本月A/B测试结论,复盘图,评论工具,B,工具,B,TODO
28,2,轻销售,升级版适合什么人,对比图,评论工具,B,工具,B,TODO
29,1,今日体检卡,月末组合体检总览,总览图,评论试用,A,试用,A,TODO
29,2,工具演示,新手上手前要准备什么,清单图,评论试用,A,试用,A,TODO
30,1,参数教学,下月默认参数建议,参数图,评论工具,B,工具,B,TODO
30,2,用户问答,下月你想看什么模板,互动问答图,评论工具,B,工具,B,TODO
